cd11c FITC	CD45 PE	F4/80 PeCy7	cd11b PB	MHCII APC	Ly6G APC cy7	PI
D	D	D	D	D	D	D
Q	Q	Q	Q	Q	Q	Q
0	0	0	0	0	0	0
551.007	122.603	91.0326	225.475	0	0	547.506
1831.03	407.23	4614.17	502.217	170.19	35.401	15895
100.481	0	33247.2	175.226	43.9591	135.834	120886
772.179	132.516	218.261	244.194	0	0	0
1352.49	466.716	1028.46	927.132	122.747	97.1309	3942.9
94.4661	0	0	40.7986	0	0	137.347
0	2.37595	0	0	99.6881	28.9147	0
177.815	33236.7	649.915	4221.88	60.1713	97.2719	1161.11
3643	1249.48	3228.03	1784.42	388.497	571.841	13481.8
260.932	104.442	0	34.6198	0	0	811.321
132.671	0	1832.51	364.317	299.867	67.1062	166.059
108.825	0	0	120.666	270.171	0	64.9192
62.9236	109.826	0	28.0345	195.115	6.2296	0
957.925	0	845.663	270.176	197.733	0	1943.56
1573.03	493.627	0	1003.13	77.2219	60.0706	159.038
937.434	0	15781	181.94	19.0322	113.905	50342
1414.01	587.126	443.872	560.611	126.826	111.639	2023.39
0	0	0	19.5211	45.7498	0	146.563
132.802	766.756	32561.8	153.692	104.748	179.877	123705
182.691	348.759	24958.2	112.428	417.666	11.8697	90871.7
158.257	413.35	25231.3	0	101.041	47.7511	91236.4
971.108	274.229	298.923	356.123	43.2566	25.2669	648.229
1339.29	1090.47	29370	1031.3	568.227	582.293	109604
771.23	382.956	183.926	208.928	0.345556	83.9838	865.091
1397.79	388.28	1221.92	1029.1	390.661	66.3389	2008.93
99.3531	0	155.771	74.2234	0	34.1468	0
15684.2	4276.87	11083.5	10461.6	1556.22	21512.8	32113.2
2575.35	754.577	1442.38	1401.37	407.183	752.962	4800.48
1165.57	493.585	0	629.024	12.4946	108.613	0
22575	15320.9	90762.3	15632.5	8439.27	15727.9	239668
63952.9	18577.8	16973	27993.1	126287	0	51700.7
860.36	105.032	1180.19	387.419	117.866	108.56	2131.56
264.16	11.4989	0	168.156	15.9883	0	24.7768
0	48.0654	0	0	0	0	0
5049.71	1529.05	1919.88	1948.54	259.928	29.7834	5496.02
1228.83	259.333	425.692	569.127	115.628	233.265	1311.83
0	0	465.532	72.1182	0	0	0
207.303	99.9318	25.008	102.157	0	0	559.1
1125.09	237.446	144.398	264.918	136.164	163	1130.93
859.375	371.595	709.539	531.315	0	131.274	2074.14
208.16	538.528	32157.7	169.652	205.13	87.6589	114295
134.345	145.977	0	25.6946	0	0.771159	0
1307.67	260.122	888.034	870.724	38.433	123.494	618.546
107.774	0	0	39.0344	172.817	0	0
2108.65	494.228	1908.99	1193.33	182.973	64.2003	5726.53
8410.39	4120.89	40036.5	5070.04	957.11	407.216	148678
22534.6	11712.6	140317	13310.3	3219.46	1792.59	231212
81.7392	67.8025	0	91.6197	5.78519	88.6281	132.122
59.2777	645.152	28167	103.083	112.219	544.226	109960
17593.2	11058.9	114679	11905.9	2747.25	4873.08	236545
1978.38	678.231	2305.89	922.217	264.886	92.5504	6824.21
15505.4	9037.38	91802.6	9245.3	1802.62	1204.68	241533
0	0	175.363	29.888	0	0	0
21.1757	106.956	0	78.5247	0	0	0
0	46.7163	0	0	0	70.4775	0
0	0	0	13.0651	0	18.7124	0
1918.51	624.927	1628.05	971.05	117.043	732.999	4474.84
142.313	434.479	27501	21.192	115.72	1407.16	105259
2159.54	584.533	647.323	687.927	219.643	21.1768	3137.75
1110.73	351.644	628.865	418.958	152.765	0	2619.94
2087.58	900.536	1304.91	1201.74	118.895	557.912	4628.5
0	91.4857	0	123.637	27.0174	0	0
0	86.0016	0	45.6949	41.2623	57.5607	184.569
54.4726	3.27211	0	34.2652	73.7045	0	55.4108
2123.7	713.266	369.178	751.406	113.939	14.2449	872.734
0	136.444	0	15.8883	0	0.862821	0
2176.68	594.562	1113.62	984.023	82.6258	304.117	2730.67
83.1906	51.568	79.4729	67.11	192.294	0	260.074
248.326	152.946	635.557	345.959	208.757	9.08841	0
1291.86	515.142	1076.35	795.749	86.4468	137.337	2515.64
1402.72	439.364	254.761	665.316	148.681	73.512	529.361
210.905	78.1122	302.817	145.445	58.7213	7.0401	439.832
3360.71	1242.34	3163.31	2577.28	310.387	994.112	8993.07
50.1914	0	27966.3	18.5196	0	894.732	101741
159.999	12.4695	263.635	46.7074	0	49.8928	79.1999
154.092	828.511	24341	72.1377	55.5942	2.28707	94816.5
7021.17	2571.83	37941.7	4366.54	610.535	1038.8	131075
393.612	168.791	0	167.907	2.81426	0	0
5889.11	1665.95	597.841	1768.31	252.156	62.3487	1063.2
2179.07	584.08	2904.61	957.237	338.078	307.51	6802.65
1227.68	520.446	76.147	340.185	240.714	6.88645	0
2351.48	870.035	1373.56	1072.77	65.054	62.0425	6117.1
493.97	115.368	127.391	248.957	0	59.5255	743.831
323.319	21.7703	609.26	182.046	4391.87	0	909.44
0	103.09	0	55.0728	121.954	0	0
120.23	588.45	28687.5	231.545	231.647	96.2126	106323
505.273	460.701	3790.95	241.308	0	12.0527	15759.2
0	0	0	0	14.7288	0	0
0	0	101.457	23.0783	0	0	0
772.367	283.267	812.046	617.518	0	194.035	1899.84
726.915	176.451	506.274	249.621	0	0	0
3369.91	4499.23	80698.1	2299.24	2182.31	1188.93	245488
0	72.5101	0	153.012	0	46.4972	0
3291.57	1224.27	2663.89	2256	436.037	991.006	7428.22
181.887	0	1090.76	11.6399	0	103.393	1694.62
0	0	0	0	36.2533	0	53.591
161.874	103.938	359.369	200.627	367.428	39.4309	611.26
0	26.9503	0	32.0622	175.858	0	316.824
132.871	0	116.028	150.66	0	12.8318	162.478
104.107	0	0	124.388	0	0	310.145
2350.09	446.957	2103.24	1047.74	1408.69	661.792	6088.37
133.817	0	209.671	104.787	46.367	0	0
113.344	0	1471.31	291.576	90.59	88.8423	1701.79
1410.43	562.318	700.092	1030.25	1063.21	78.8289	2982.19
1839.42	574.417	1759.21	1093.92	2487.8	436.073	4298.12
2153.34	586.263	2694.77	1766.46	199.03	554.146	9075.2
292.26	590.922	5854.3	190.862	235.504	0	28249
1727.22	635.844	437.488	791.798	406.917	0	2490.33
14.0635	80.3102	0	22.102	0	41.8764	186.933
603.303	404.579	1072.04	579.044	174.089	0	3974.28
1170.29	354.98	142.032	317.542	364.991	94.8454	2079.79
31.6423	128.609	380.662	147.049	0	19.298	1533.98
2100.08	933.862	1714.83	1329.08	195.963	109.79	6566.92
43.4259	50.1867	84.2203	66.3079	0	28.1758	0
1492.89	603.841	418.047	518.634	319.334	8.79131	1012.77
2585.15	1033.28	5781.4	1524.09	432.509	193.172	21463.7
50.9216	0	397.966	73.2979	192.112	0	200.274
236.135	0	713.659	275.548	0	1.90267	1018.55
83.9783	0	1152.89	261.812	0	119.53	3057.69
1189.38	373.447	0	1192.62	0	63.9975	129.061
0	133.379	715.479	342.218	0	0	2996.01
226.342	0	683.659	183.064	192.011	0	911.208
452.218	0	124.133	168.839	0	0	33.215
0	2.90358	112.194	62.7269	0	1.36642	0
0.398967	0	0	101.338	118.204	114.844	0
0	0	113.309	0	0	9.44453	0
15616.9	7611.38	64232.2	11520.4	1951.61	758.075	243397
3761.76	860.842	3816.89	2106.36	559.876	914.486	9899.29
220.132	169.578	175.425	1321.18	600.261	0	754.198
12254.3	8346.94	69373.3	8150.46	1566.47	1105.18	246161
76.413	38877.1	688.056	10645.1	2300.73	5948.27	350.413
421.429	234.071	1239.51	1146.15	311.074	88.9795	3136.54
366.972	1677.88	20506.8	464.034	247.511	125.567	81083.8
3942.57	1023.55	3311.27	1786.28	352.765	500.02	7025.21
177.675	403.913	31593.2	131.488	154.162	29.1544	112386
1806.13	1501.13	24116.3	697.194	322.957	598.721	95005.9
10082.2	3770.85	32796.7	3236.75	1048.22	570.233	126512
2750.34	631.167	1014.98	1133.48	282.173	462.738	3438.01
1810.71	902.358	770.356	2582.35	365.525	30.4203	4541.05
1498.22	177.671	3414.34	691.599	30.4923	231.667	9389.58
5.47909	159.319	0	21.4179	92.2539	0	0
0	0	0	0	20.2759	80.247	0
1622.46	511.349	1203.61	542.407	245.321	98.3699	4041.04
0	170.184	4.72475	46.7076	76.8795	0	509.774
117.406	318.295	0	526.713	0	22.2336	391.139
72.1272	132.211	20.2695	83.0302	0	0	83.7276
264.655	594.281	5608.36	276.66	37.272	0	24038.2
1691.22	546.651	56.2817	777.671	111.089	95.5788	697.372
2407.88	798.449	509.53	917.426	153.857	60.6687	2020.07
146.352	689.585	31907.4	0	0	0	120375
111.004	2009.92	21265.2	10.2814	227.194	2.62187	96804.8
575.507	283.258	236.004	373.489	88.0716	0	804.987
7092.68	2154.73	1185.24	6098.19	556.74	117.333	2355.05
98.702	0	0	16.4232	51.9785	0	0
0	0	92.9953	0	293.283	0	0
0	0	171.292	32.1884	267.035	15.4494	0
3158.38	751.465	2357.28	1583.27	99.3145	527.332	5086.87
5287.28	1889.33	3965.82	3211.78	1042.81	218.388	11391.2
0	110.235	125.389	92.8611	0	0	186.588
15114.6	4058.42	2176.65	3807.92	1121.86	86.5727	6096.69
4029.25	1345.93	3883.24	2512.82	474.807	1409.18	12960.1
1873.06	1041.23	1506.74	1433.3	205.225	271.054	6602.26
0	203.212	58.6647	180.945	40.4337	86.2996	464.418
144.898	94.2436	0	0	0	65.4028	0
4630.07	1346.98	2597.41	2039.65	224.823	1189.93	10610.1
341.81	255.11	557.145	451.16	311.582	0	1434.34
174.313	662.893	28831.1	157.334	0	430.287	102823
3078.07	956.347	1722.6	1698.67	899.752	287.412	6056.49
0	0	34.8065	10.9403	59.962	0	0
1226.62	464.483	811.902	626.452	131.978	34.397	3012.44
21.5023	114.675	0	121.989	224.879	1.33068	202.888
0	49.9912	47.3476	20.735	0	14.4551	0
0	26.0145	0	150.22	0	4.40253	0
0	28.7935	43.1529	31.862	93.0174	0	161.904
7.38567	0	41.7799	144.05	218.288	0	0
201.518	212.166	106.477	196.907	88.1953	436.855	0
2372.17	1604.82	27852.1	834.441	298.318	358.379	108919
0	0	146.995	108.129	0	0	130.866
8627.37	4659.6	38730.8	5707.43	1306.41	965.499	153442
1257.33	315.059	1216.21	653.911	60.2367	153.269	1436.05
4787.69	1076.43	3701.91	2730.93	607.473	910.149	8257.86
0	44.5654	0	0	67.1457	25.5442	0
1084.74	277.425	1331.6	1648.88	872.124	2440.51	2014.97
21.511	60.9788	0	0	220.009	26.7596	305.044
0	126.942	0	14.7961	0	85.0925	363.431
4425.88	1355.29	3729.6	3626.53	407.455	984.65	6016.12
0	0	0	63.1291	168.683	0	352.37
25.3685	0	240.204	49.7845	0	51.2892	0
0	0	73.0937	0	0	0	0
1074.48	363.719	176.739	534.109	0	23.2189	1856.63
879.213	90.8671	502.402	244.225	0	211.14	1391.43
8347.56	5815.56	72847.5	2806.25	1276.75	491.593	246385
12.9078	105.186	0	30.2021	0	92.757	0
8959.87	4136.48	31277.5	2412.15	606.619	824.089	118209
7231.42	995.064	37140.2	2898.65	595.62	2790.91	127281
1482.02	323.112	295.432	525.602	248.411	24.7247	893.339
19.7168	1.88474	182.468	59.994	0	76.2689	120.385
696.595	358.577	464.829	426.008	18.1501	95.7469	1816.51
1096.74	446.045	1054.52	166.289	159.015	63.2263	5251.84
12448.5	8532.87	72301.9	7061.16	1615.63	432.965	245558
4356.11	1275.41	1693.69	1570.81	382.99	273.199	4019.12
2120.04	257.635	493.007	1655.3	99.3022	0.232799	674.264
4486	1493.41	4250.76	2496.31	634.685	1357.57	12941.9
8162.94	2077.84	382.694	2456.81	543.62	84.3499	1290.92
702.388	9.87973	640.903	330.482	111.579	0	1588.71
6708.35	5381.33	68066.5	3561.21	895.325	468.92	247491
0	0	0	51.8191	0	63.3141	45.1144
3674.01	1047.25	324.893	980.786	131.368	0	854.179
23.5881	63.8717	0	27.6411	0	0	0
21980.2	9057.53	37480.5	6304.81	1381.69	445.361	132227
1411.28	590.779	101.815	286.222	0	62.6059	2343.42
2.10089	0	0	0	0	0	0
1252.68	1853.59	35518.1	562.567	541.716	94.2394	140311
2881.14	1312.85	994.125	3827.11	7530.14	115.783	3301.75
4218.25	1401.31	37722.4	2322.68	453.15	1270.2	131213
246.357	36.6284	430.479	11.5588	0	18.5785	1862.65
126.926	0	31908.3	0	0	49.8084	110003
2246.56	949.328	2268.76	713.989	309.4	97.4582	8692.03
0	483.515	10150.3	0	0	16.268	39571.2
56.3181	837.928	31946.7	2.98123	0	1025.49	123695
385.012	407.913	1556.19	864.168	46.7601	0	5676.45
0	21.9549	72.3651	88.4938	0	0	0
786.17	227.665	387.699	569.684	0	94.0686	1468.12
1566.38	520.364	1165.94	389.061	0	98.7602	4049.82
3.44516	0	0	0	173.116	0	0
1763.6	462.311	1531.81	974.15	137.621	93.6318	4017.28
0	342.798	0	56.2442	519.638	0	0
0	107.485	0	121.054	0	0	224.436
117.597	515.437	30351.2	136.983	59.5375	387.802	114416
102.327	0	158.43	55.9448	77.023	0	0
3648.17	1458.15	1683.36	3918.55	1817.61	589.372	4726.06
128.854	0	398.569	128.595	89.4034	0	406.682
713.045	33.4972	617.827	204.692	344.825	0	287.561
0	0	0	3.22689	0	0	0
2463.6	903.461	1114.87	1477.9	249.117	54.7915	5090.97
1811.53	759.86	1686.6	1253.67	49.5849	785.87	4639.65
455.237	215.754	226.396	523.931	399.409	21.1278	684.589
14.0495	27.2725	0	2.82154	0	89.3825	253.921
69.2932	33.1716	48.1288	82.2893	32.0488	43.2937	152.439
1836.64	618.615	813.604	983.086	322.116	54.8606	4133.66
663.852	92.7818	344.432	280.507	0	67.8232	0
1206.04	403.541	989.19	498.245	31.8437	140.603	3781.75
1605.89	262.372	2194.63	604.368	296.725	766.554	4293.36
0	0	0	44.6644	82.0382	76.6442	0
1291.79	720.696	33389.7	374.832	164.845	124.552	124263
0	35.4013	0	5.50375	0	0	0
99.2623	0	0	0	0	82.0584	0
62.3357	569.354	27139.7	0	0	76.4001	102631
725.79	586.983	507.949	594.114	156.259	108.856	1364.83
2631.45	856.058	707.735	1477.93	262.703	5.85297	1226.83
1640.84	516.585	44.5317	651.769	323.941	95.3748	1340.45
15.3281	116.36	0	100.073	0	0	0
915.905	221.228	6.49651	82.5353	258.208	35.4642	176.232
7492.57	2304.3	7359.96	4706.38	1309.69	1507.84	20527.4
325.863	91.3237	30986.7	157.608	253.298	469.695	111099
5603.1	3392.92	32672.2	2834.47	4985.09	1429.6	123473
808.724	176.905	792.259	606.223	277.305	73.0667	836.707
4504.85	1383.1	1353.22	2120.71	1507.09	105.567	7050.48
0	122.58	0	0	0	25.3658	0
766.008	299.222	1914.98	424.272	165.099	241.44	4875.8
231.084	98.5558	1129.31	637.07	0	116.672	1876.18
1751.48	379.752	104.651	912.533	188.177	40.8557	790.923
578.443	34.9163	363.14	188.33	23.6856	178.087	292.682
2602.05	710.874	1189.4	712.877	151.851	328.163	4137.13
1593.7	467.295	1400.93	1222.71	155.895	676.573	4428.18
1120.22	391.259	1200.19	1138.59	281.169	347.285	3926.74
92.7978	82.5476	162.193	85.3344	244.135	0	38.1663
5590.98	1712.25	4460.44	2886.59	633.382	1270.83	11784.6
