Frame	skeletons	nodes	3way_node	4way_node	branches	total_length	length/skeleton	branches/node	network	network_size
I	I	I	I	I	I	D	D	D	I	D
Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q
0	0	0	0	0	0	0	0	0	0	0
1	250	157	154	3	544	9451.27005	37.8050802	3.464968153	8	671.5
2	222	123	114	7	468	6839.249938	30.80743215	3.804878049	10	420.6486486
3	180	137	132	5	446	7499.798635	41.66554797	3.255474453	10	531.9277778
4	94	189	177	10	459	10218.31747	108.705505	2.428571429	35	1580.574468
5	67	200	192	8	433	11158.83316	166.5497486	2.165	60	2683.895522
6	59	204	196	8	424	11083.35959	187.8535523	2.078431373	68	2910.338983
7	78	218	205	13	482	10395.18628	133.271619	2.211009174	59	1809.025641
8	61	206	197	9	431	10486.45004	171.9090171	2.09223301	66	2472.655738
9	91	226	213	12	500	9945.990123	109.2965948	2.212389381	71	1279.373626
10	31	147	144	3	294	9520.032224	307.0978137	2	53	5609.193548
11	29	128	122	6	267	9020.557996	311.053724	2.0859375	37	5742.896552
12	40	146	137	8	304	9111.223369	227.7805842	2.082191781	50	3544
13	59	153	144	7	345	8759.656027	148.4687462	2.254901961	43	1965.728814
14	34	134	128	5	280	8299.381975	244.0994699	2.089552239	46	3760.352941
15	36	153	147	6	318	8502.835931	236.189887	2.078431373	44	3037.166667
16	41	118	111	7	263	7850.966109	191.4869783	2.228813559	32	2546.292683
17	41	136	130	6	288	8047.649266	196.2841284	2.117647059	40	2419.292683
18	17	86	82	4	171	7347.777117	432.2221833	1.988372093	36	7115.176471
19	19	80	77	3	165	7178.759303	377.829437	2.0625	25	6137.157895
20	18	77	76	1	158	6922.35014	384.5750078	2.051948052	26	6018.555556
21	24	78	74	3	171	6801.206482	283.3836034	2.192307692	26	4044.083333
22	9	57	56	1	115	6893.129794	765.9033104	2.01754386	24	13415
23	18	58	55	3	128	6672.196617	370.6775898	2.206896552	22	5797.5
24	28	83	83	0	178	6631.762261	236.8486522	2.144578313	28	3202.892857
25	22	81	76	5	174	6805.524977	309.3420444	2.148148148	29	4121
26	21	69	68	1	150	6562.897254	312.5189169	2.173913043	23	4217.52381
27	11	60	60	0	120	6623.228207	602.1116552	2	23	10227.18182
28	16	61	60	1	132	6475.517529	404.7198455	2.163934426	20	5820.6875
29	24	62	61	1	141	6372.452081	265.5188367	2.274193548	18	3555.875
30	19	68	66	2	145	6493.755119	341.7765852	2.132352941	21	4575.263158
31	12	56	56	0	113	6535.446461	544.6205384	2.017857143	21	8273.416667
32	15	68	67	1	143	6434.872868	428.9915245	2.102941176	18	5816.866667
33	14	61	60	1	122	6569.076399	469.2197428	2	24	7743.142857
34	13	65	64	1	130	6635.388156	510.4144736	2	25	8301.230769
35	20	68	67	1	148	6477.787077	323.8893538	2.176470588	21	4623.45
